Ticker,Name,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
ICUI,"ICU Medical, Inc.",187.27,N/A,N/A,N/A,4037.036499,46.86,N/A,0.611632431
IDA,"IDACORP, Inc.",88.02,0.030085317,0.063492063,0.056089988,4495.074788,18.92,0.576121071,0.940721654
IDCC,"InterDigital, Inc.",61.88,0.022845953,0,0.118426915,1887.79168,49.79,1.125582891,1.226781053
IDN,"Intellicheck, Inc.",6.12,N/A,N/A,N/A,113.098568,-83.24,N/A,1.443422828
IDRA,"Idera Pharmaceuticals, Inc.",2.09,N/A,N/A,N/A,73.566328,-0.76,N/A,1.020035652
IDSA,"Recycling Asset Holdings, Inc.",1.125,N/A,N/A,N/A,11.4254,-2.31,N/A,N/A
IDSY,"I.D. Systems, Inc.",5.4,N/A,N/A,N/A,99.6192,-11.19,N/A,0.643334351
IDT,IDT Corp.,6.38,N/A,N/A,N/A,174.691104,-66.39,N/A,1.291941698
IDXG,"Interpace Biosciences, Inc.",2.705,N/A,N/A,N/A,11.827238,-0.39,N/A,0.689564937
IDXX,"IDEXX Laboratories, Inc.",370.89,N/A,N/A,N/A,32429.65602,68.96,N/A,0.84235318
IEC,IEC Electronics Corp.,8.78,N/A,N/A,N/A,93.287636,13.65,N/A,0.638793363
IESC,"IES Holdings, Inc.",29.06,N/A,N/A,N/A,612.724746,16.46,N/A,1.018615064
IEX,IDEX Corp.,177.62,0.01110186,N/A,N/A,13603.19856,35.83,0.403461701,0.91507519
IFF,"International Flavors & Fragrances, Inc.",123.12,0.024216984,0.02739726,0.060167892,13246.86004,32.65,0.795460572,0.941270882
IHC,Independence Holding Co.,35.78,0.011811024,N/A,N/A,521.61186,350.78,4.117647059,1.000724178
III,"Information Services Group, Inc.",2.035,N/A,N/A,N/A,100.488245,32.97,N/A,1.398468986
IIIN,"Insteel Industries, Inc.",17.95,0.006655574,0,0,347.27583,35.36,0.235710077,1.369055838
IIIV,"i3 Verticals, Inc.",26.335,N/A,N/A,N/A,749.815925,-536.66,N/A,1.311816363
