Ticker,Name,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
A,"Agilent Technologies, Inc.",96.84,0.007065436,0.097560976,0.124746113,30720.0084,43.34,0.315101602,0.923429364
AA,Alcoa Corp.,14.4,N/A,N/A,N/A,2645.69852,-4.17,N/A,1.579508469
AAC,"AAC Holdings, Inc.",0.48,N/A,N/A,N/A,12.10512,-0.14,N/A,2.218686792
AAL,"American Airlines Group, Inc.",13.625,0.01497006,N/A,N/A,6794.38832,-1.67,-0.024479505,1.426833132
AAME,Atlantic American Corp.,1.995,N/A,N/A,N/A,40.908,-19.37,N/A,0.336520989
AAN,"Aaron's, Inc.",54.67,0.002786266,N/A,N/A,3735.031578,-13.08,-0.037074244,1.536053906
AAOI,"Applied Optoelectronics, Inc.",10.525,N/A,N/A,N/A,249.3753,-2.68,N/A,1.076020007
AAON,"AAON, Inc.",56.535,0.006140351,N/A,N/A,2978.9169,42.29,0.262309825,0.886768267
AAP,"Advance Auto Parts, Inc.",153.75,0.00399536,3.166666667,0.330324997,10728.95898,23.58,0.095089108,1.011636605
AAPL,"Apple, Inc.",121.11,0.006473362,N/A,N/A,2067350.2,36.45,0.235813519,1.122675962
AAT,"American Assets Trust, Inc.",26.15,0.041474654,-0.285714286,-0.029665646,1564.324356,34.32,1.417508859,1.277771113
AAWW,"Atlas Air Worldwide Holdings, Inc.",55.695,N/A,N/A,N/A,1443.75264,-5.79,N/A,0.947716074
AAXN,"Axon Enterprise, Inc.",82.655,N/A,N/A,N/A,5366.227224,-151.16,N/A,1.164152253
ABBV,"AbbVie, Inc.",91.87,0.050179602,0.102803738,0.182666693,162134.9321,19.49,0.977834341,0.730746706
ABC,AmerisourceBergen Corp.,96.6,0.016806723,0.05,0.043167564,19920.17636,12.63,0.214502459,0.943612942
ABCB,Ameris Bancorp,25.21,0.024271845,N/A,N/A,1717.731,13.03,0.310029453,1.473874532
ABEO,"Abeona Therapeutics, Inc.",1.975,N/A,N/A,N/A,173.80146,-1.51,N/A,1.391463366
ABG,"Asbury Automotive Group, Inc.",106.32,N/A,N/A,N/A,2044.290612,12.9,N/A,1.386475267
ABIO,"ARCA biopharma, Inc.",4.315,N/A,N/A,N/A,28.05008,-1.43,N/A,0.480524335
ABM,"ABM Industries, Inc.",38.33,0.019332627,N/A,N/A,2517.311936,-107.46,-2.046537707,1.20188067
ABMD,"ABIOMED, Inc.",276,N/A,N/A,N/A,13244.35667,78.41,N/A,0.645856017
ABR,"Arbor Realty Trust, Inc.",11.32,0.105683837,0.068965517,0.156256233,1268.1575,19.79,2.08041958,1.340565358
ABT,Abbott Laboratories,104.16,0.01326637,0.125,0.084471771,186844.0309,59.55,0.800365882,0.901837862
ABTX,"Allegiance Bancshares, Inc. (Texas)",26.23,0.007864727,N/A,N/A,519.575588,13.75,0.104766894,1.287295046
AC,"Associated Capital Group, Inc.",38.56,0.005087764,N/A,N/A,879.040314,-40.84,-0.211841966,1.290787456
ACA,"Arcosa, Inc.",48.08,0.004223865,N/A,N/A,2288.894265,19.56,0.081347108,1.244109882
ACAD,"ACADIA Pharmaceuticals, Inc.",38.27,N/A,N/A,N/A,6098.44345,-26.09,N/A,0.843362796
ACBI,"Atlantic Capital Bancshares, Inc.",12.47,N/A,N/A,N/A,266.609402,14.3,N/A,1.443391902
ACC,"American Campus Communities, Inc.",35.82,0.053062377,0,0.032779415,4876.30176,44.59,2.340346072,1.357365553
ACCO,ACCO Brands Corp.,6.54,0.038173653,N/A,N/A,631.007496,7.46,0.290863465,0.970033595
ACER,"Acer Therapeutics, Inc.",2.32,N/A,N/A,N/A,30.377385,-1.17,N/A,1.496023801
ACGL,Arch Capital Group Ltd.,31.855,N/A,N/A,N/A,13039.82064,11.46,N/A,1.360185679
ACHC,"Acadia Healthcare Co., Inc.",29.83,N/A,N/A,N/A,2684.906358,24.72,N/A,1.531406468
ACHN,"Achillion Pharmaceuticals, Inc.",6.76,N/A,N/A,N/A,945.66316,-12.6,N/A,0.124386553
ACHV,"Achieve Life Sciences, Inc.",7.39,N/A,N/A,N/A,16.99216,-0.39,N/A,0.674590931
ACIA,"Acacia Communications, Inc.",66.775,N/A,N/A,N/A,2827.976984,46.51,N/A,0.214113638
ACIW,"ACI Worldwide, Inc.",29.12,N/A,N/A,N/A,3378.77267,43.82,N/A,1.116246885
ACLS,"Axcelis Technologies, Inc.",22.66,N/A,N/A,N/A,788.774764,21.29,N/A,1.445494428
ACM,AECOM,38.37,N/A,N/A,N/A,6088.36644,-14.04,N/A,1.247754161
ACMR,"ACM Research, Inc.",82.18,N/A,N/A,N/A,1518.472853,99.5,N/A,1.212088985
ACN,Accenture Plc,236.07,0.016151979,N/A,N/A,152038.3591,30.36,0.496360878,1.08034736
ACNB,ACNB Corp.,22.33,0.048875855,0,0.045639553,177.916886,10.66,0.468515742,1.764338784
ACOR,"Acorda Therapeutics, Inc.",0.4802,N/A,N/A,N/A,25.16024,-0.1,N/A,0.904947644
ACRE,Ares Commercial Real Estate Corp.,9.68,0.134969325,0,0.057096868,327.061782,23.91,3.260869565,1.75007352
ACRS,"Aclaris Therapeutics, Inc.",2.12,N/A,N/A,N/A,94.844616,-0.88,N/A,0.80784997
ACRX,"AcelRx Pharmaceuticals, Inc.",1.145,N/A,N/A,N/A,103.87283,-1.85,N/A,1.479957087
ACTG,Acacia Research Corp.,3.795,N/A,N/A,N/A,184.798125,-12.51,N/A,0.478599621
ACU,Acme United Corp.,22.5,0.021238938,N/A,N/A,75.402866,11.57,0.246926282,0.352384693
ACY,AeroCentury Corp.,2.205,N/A,N/A,N/A,3.509375,-0.09,N/A,0.761369234
ADBE,"Adobe, Inc.",492.17,N/A,N/A,N/A,243573.887,64.23,N/A,1.10248431
ADC,Agree Realty Corp.,66.41,0.035050929,0.052631579,0.052300216,3595.09276,33.81,1.191142784,0.987145197
ADES,"Advanced Emissions Solutions, Inc.",3.905,0.127226463,N/A,N/A,72.936477,-5.53,-0.707213579,1.399922224
ADI,"Analog Devices, Inc.",117.65,0.019808743,0.148148148,0.09160707,43236.72192,38.95,0.769434863,1.252600681
ADM,Archer-Daniels-Midland Co.,46.49,0.030997599,0.028571429,0.051547497,25454.18907,14.71,0.449423978,0.99788213
ADMA,"ADMA Biologics, Inc.",2.23,N/A,N/A,N/A,192.5605,-2.57,N/A,0.692375969
ADMP,Adamis Pharmaceuticals Corp.,0.7528,N/A,N/A,N/A,47.856326,-1.46,N/A,0.708425097
ADMS,"Adamas Pharmaceuticals, Inc.",5.39,N/A,N/A,N/A,153.570174,-1.93,N/A,1.07459598
ADNT,Adient plc,17.87,N/A,N/A,N/A,1682.408448,-3.26,N/A,1.834136427
ADP,"Automatic Data Processing, Inc.",138.5,0.025298261,0.151898734,0.131798366,59825.3301,24.2,0.614943834,1.185544965
ADRO,"Aduro BioTech, Inc.",2.665,N/A,N/A,N/A,227.27068,-3.32,N/A,0.897933491
ADS,Alliance Data Systems Corp.,48.11,0.046347385,N/A,N/A,2161.96665,-5.06,-0.220917755,1.739476205
ADSK,"Autodesk, Inc.",233.835,N/A,N/A,N/A,53062.25456,141.39,N/A,1.187770248
ADSW,"Advanced Disposal Services, Inc.",29.93,N/A,N/A,N/A,2715.485344,9069.7,N/A,0.123432792
ADT,"ADT, Inc.",10.29,0.013592233,N/A,N/A,7836.0752,-11.72,-0.159398839,0.985558058
ADTN,"ADTRAN, Inc.",10.47,0.034615385,0,0,498.76216,-7.36,-0.253378378,1.006480322
ADUS,Addus HomeCare Corp.,88.53,N/A,N/A,N/A,1394.34165,43.87,N/A,0.810299537
ADVM,"Adverum Biotechnologies, Inc.",11.635,N/A,N/A,N/A,963.847565,-9.56,N/A,1.431484097
ADXS,"Advaxis, Inc.",0.44,N/A,N/A,N/A,27.235004,-0.3,N/A,1.092752731
AE,"Adams Resources & Energy, Inc.",21.71,0.045736065,0,0.017554577,89.045457,-19.85,-0.877754412,0.906046422
AEE,Ameren Corp.,78.96,0.024778761,N/A,N/A,19544.028,22.96,0.569916548,0.951636259
AEGN,Aegion Corp.,16.01,N/A,N/A,N/A,482.803266,-77.78,N/A,1.061956742
AEHR,Aehr Test Systems,1.88,N/A,N/A,N/A,43.787268,-14.64,N/A,0.77668583
AEIS,"Advanced Energy Industries, Inc.",69.14,N/A,N/A,N/A,2811.947488,40.69,N/A,1.529019551
AEL,American Equity Investment Life Holding Co.,24.58,0.012562814,N/A,N/A,2195.875848,9.31,0.113670809,2.125164563
AEMD,"Aethlon Medical, Inc.",1.29,N/A,N/A,N/A,15.570816,-0.67,N/A,-0.075575689
AEO,"American Eagle Outfitters, Inc.",12.86,0.043616178,N/A,N/A,2086.955,-19.73,-0.843687682,1.270132829
AEP,"American Electric Power Co., Inc.",79.05,0.035193565,0.044776119,0.045639553,39474.0918,20.54,0.727650728,0.768068072
AERI,"Aerie Pharmaceuticals, Inc.",11.68,N/A,N/A,N/A,528.403584,-2.64,N/A,1.091769003
AES,The AES Corp.,17.57,0.032018089,0.04981685,0.074605943,11766.16739,61.37,1.978344394,1.232358431
AEY,"ADDvantage Technologies Group, Inc.",2.08,N/A,N/A,N/A,24.75669,-1.22,N/A,1.073170801
AFG,"American Financial Group, Inc.",68.63,0.026068822,0,0.075653757,5943.696913,26.27,0.669856459,1.555320632
AFH,"Atlas Financial Holdings, Inc.",0.205,N/A,N/A,N/A,2.38856,-0.04,N/A,0.313653626
AFI,"Armstrong Flooring, Inc.",3.55,N/A,N/A,N/A,77.090937,-1.01,N/A,0.918106425
AFIN,"American Finance Trust, Inc.",6.85,0.148852511,0,-0.050259024,756.44016,-19.15,-2.896432161,1.258607568
AFL,"Aflac, Inc.",37.86,0.029778018,0.037037037,-0.073437253,26334.96928,9.42,0.273788486,1.278211066
AGCO,AGCO Corp.,73.77,0.008706298,0,0.059223841,5505.641715,102.22,0.886795067,1.142941551
AGE,"AgeX Therapeutics, Inc.",0.799,N/A,N/A,N/A,30.620688,-2.55,N/A,1.388754919
AGEN,"Agenus, Inc.",3.925,N/A,N/A,N/A,735.60643,-3.44,N/A,0.829531341
AGFS,"AgroFresh Solutions, Inc.",2.48,N/A,N/A,N/A,124.790743,-2.77,N/A,1.033475647
AGIO,"Agios Pharmaceuticals, Inc.",40.38,N/A,N/A,N/A,2824.529787,-7.61,N/A,0.870770437
AGLE,"Aeglea Biotherapeutics, Inc.",7.3,N/A,N/A,N/A,318.442572,-3.09,N/A,1.622326303
AGM,Federal Agricultural Mortgage Corp.,71.23,0.042028579,0.142857143,0.379729661,766.109477,9.03,0.380237775,1.063142075
AGMA,Federal Agricultural Mortgage Corp. (AGMA),61,N/A,N/A,N/A,642.51,N/A,N/A,N/A
AGN,Allergan Plc,193.02,0.015335198,N/A,N/A,63364.02654,-25.46,-0.390388014,0.031184897
AGNC,AGNC Investment Corp.,13.86,0.130151844,0,-0.077892089,7682.80011,-8.21,-1.067615658,0.83547445
AGO,Assured Guaranty Ltd.,21.81,0.036001895,0.111111111,0.107566343,1763.419628,6,0.209158961,1.465178958
AGR,"Avangrid, Inc.",48.67,0.036363636,N/A,N/A,14955.842,21.49,0.777041943,0.836585237
AGRX,"Agile Therapeutics, Inc.",2.905,N/A,N/A,N/A,255.781968,-7.21,N/A,1.020609894
AGS,"PlayAGS, Inc.",3.62,N/A,N/A,N/A,137.48548,-2.11,N/A,1.972599188
AGTC,Applied Genetic Technologies Corp.,5.83,N/A,N/A,N/A,149.955792,-2.68,N/A,1.019499143
AGX,"Argan, Inc.",42.28,0.023397286,N/A,N/A,668.881,-48.42,-1.14521301,0.854816941
AGYS,"Agilysys, Inc.",23.92,N/A,N/A,N/A,579.594015,-16.29,N/A,1.133416111
AHC,A.H. Belo Corp.,1.47,0.216216216,-0.5,-0.129449437,31.686923,-3.11,-0.677392041,0.450311606
AHH,"Armada Hoffler Properties, Inc.",10.2,0.06195547,N/A,N/A,810.387105,21.53,1.351066076,1.463019654
AHT,"Ashford Hospitality Trust, Inc.",2.92,0.412371134,N/A,N/A,30.482541,-0.08,-0.031278672,1.457118392
AIG,"American International Group, Inc.",29.8,0.043537415,0,0.027066087,25326.1596,-5.55,-0.238254784,1.580965731
AIII,"ACRE Realty Investors, Inc. (AIII)",,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIMC,Altra Industrial Motion Corp.,40.41,0.01367819,-0.764705882,-0.232296101,2599.81776,-81.87,-1.114262561,1.593806084
AIMT,"Aimmune Therapeutics, Inc.",34.22,N/A,N/A,N/A,2240.356923,-7.62,N/A,1.040319527
AIN,Albany International Corp.,51.15,0.01435132,0.055555556,0.022494395,1605.359262,14.94,0.219093246,1.133220765
AINC,"Ashford, Inc.",7.04,N/A,N/A,N/A,17.197062,-0.07,N/A,1.25189099
AIR,AAR Corp.,20.23,0.014917951,N/A,N/A,709.953385,165.55,2.454991817,1.69252315
AIRG,"Airgain, Inc.",13.44,N/A,N/A,N/A,128.59168,-65.16,N/A,1.087876211
AIRI,Air Industries Group,1.1,N/A,N/A,N/A,34.29552,-20.64,N/A,0.860728745
AIRT,"Air T, Inc.",11,N/A,N/A,N/A,31.959938,-10.67,N/A,0.731253278
AIT,"Applied Industrial Technologies, Inc.",60.96,0.020673938,0.032258065,0.034563716,2378.059731,97.69,2.03525641,1.279306434
AIV,Apartment Investment & Management Co.,37.45,0.043173233,0.051282051,0.044369027,5516.9369,30.68,1.310723355,1.183499857
AIZ,"Assurant, Inc.",122.67,0.020655738,0.05,0.047307248,7277.0682,19.18,0.394002408,1.066984484
AJG,Arthur J. Gallagher & Co.,103.68,0.016829222,0.046511628,0.039925333,20027.07,26.97,0.457784945,0.974775766
AJRD,"Aerojet Rocketdyne Holdings, Inc.",41.65,N/A,N/A,N/A,3301.308387,25.44,N/A,1.088638666
AJX,Great Ajax Corp.,9.07,0.020270754,-0.46875,-0.074232815,203.16423,30.52,0.604303096,1.10600934
AKAM,"Akamai Technologies, Inc.",108.38,N/A,N/A,N/A,18450.747,32.44,N/A,0.600727797
AKBA,"Akebia Therapeutics, Inc.",2.725,N/A,N/A,N/A,379.79005,-0.9,N/A,1.414319496
AKCA,"Akcea Therapeutics, Inc.",18.15,N/A,N/A,N/A,1843.2961,-47.28,N/A,1.087106039
AKER,"Akers Biosciences, Inc.",2.22,N/A,N/A,N/A,20.589301,-0.42,N/A,1.717651996
AKR,Acadia Realty Trust,12.16,0.072390572,0.035714286,0.030128963,1085.827248,N/A,N/A,1.077505481
AKRX,"Akorn, Inc.",0.09,N/A,N/A,N/A,11.98368,-0.03,N/A,1.276008293
AKS,AK Steel Holding Corp.,1.55,N/A,N/A,N/A,490.44945,43.66,N/A,0.049684941
AKTS,"Akoustis Technologies, Inc.",8.185,N/A,N/A,N/A,300.73325,-7.56,N/A,1.179325717
AL,Air Lease Corp.,32.14,0.018548129,0.153846154,0.302585542,3557.86933,6.16,0.111117497,1.730623983
ALB,Albemarle Corp.,94.72,0.016151535,0.047619048,0.058309139,9910.43844,22.94,0.364415603,1.197693332
ALBO,"Albireo Pharma, Inc.",27.4,N/A,N/A,N/A,406.098063,-4.62,N/A,1.324088355
ALCO,"Alico, Inc.",30.155,0.010941645,0.5,0.084471771,225.947862,9.86,0.10737993,0.886754106
ALDX,"Aldeyra Therapeutics, Inc.",5.875,N/A,N/A,N/A,236.434572,-3.34,N/A,1.769079222
ALE,"ALLETE, Inc.",53.78,0.044522446,0.05106383,0.041044075,2808.302291,16.62,0.744930762,1.108469565
ALEC,"Alector, Inc.",12.39,N/A,N/A,N/A,1003.459452,-6.11,N/A,1.182130171
ALEX,"Alexander & Baldwin, Inc.",12.09,0.031020408,N/A,N/A,886.26545,-20.28,-0.637476933,1.513721905
ALG,"Alamo Group, Inc.",112.22,0.00446628,0.083333333,0.101972288,1328.19719,23.77,0.105920983,1.130986931
ALGN,"Align Technology, Inc.",309.06,N/A,N/A,N/A,24779.99288,14.28,N/A,1.434950347
ALGT,Allegiant Travel Co.,133.75,0.015952598,N/A,N/A,2138.136372,-87.97,-1.382306477,1.642868644
ALIM,"Alimera Sciences, Inc.",5.5,N/A,N/A,N/A,28.731235,-4.27,N/A,0.980655973
ALJJ,"ALJ Regional Holdings, Inc.",1.02,N/A,N/A,N/A,43.016256,-0.52,N/A,0.48977956
ALK,"Alaska Air Group, Inc.",40.82,0.017949988,N/A,N/A,4993.8196,89.26,1.585392521,1.515923561
ALKS,Alkermes Plc,16.335,N/A,N/A,N/A,2605.14072,-20.42,N/A,0.780276097
ALL,The Allstate Corp.,93.81,0.022284123,0.08,0.124746113,29151.57544,6.92,0.15346363,1.078020441
ALLE,Allegion Plc,99.67,0.011750647,0.185185185,0.261914689,9262.078028,32.34,0.382868267,1.102584392
ALLK,"Allakos, Inc.",83.595,N/A,N/A,N/A,4006.521167,-35.6,N/A,0.814628522
ALLO,"Allogene Therapeutics, Inc.",33.09,N/A,N/A,N/A,4669.06784,-15.67,N/A,0.981077287
ALLY,"Ally Financial, Inc.",25.24,0.030290282,N/A,N/A,8886.10549,14.32,0.408487462,1.579770365
ALNA,"Allena Pharmaceuticals, Inc.",1.155,N/A,N/A,N/A,48.411003,-0.72,N/A,1.173494514
ALNY,"Alnylam Pharmaceuticals, Inc.",122.85,N/A,N/A,N/A,14518.2843,-16.23,N/A,0.613118053
ALOT,"AstroNova, Inc.",6.85,0.040995608,N/A,N/A,48.925271,98.72,3.988603989,1.419356292
ALPN,"Alpine Immune Sciences, Inc.",7.2,N/A,N/A,N/A,173.391192,-4.02,N/A,-0.195162373
ALRM,"Alarm.com Holdings, Inc.",58.71,N/A,N/A,N/A,2938.437658,50.52,N/A,0.804990014
ALSK,"Alaska Communications Systems Group, Inc.",2.265,0.039647577,N/A,N/A,121.826587,12.76,0.505902192,0.615117338
ALSN,"Allison Transmission Holdings, Inc.",36.08,0.017621145,0.133333333,0.025348576,4111.49664,10.18,0.180612389,0.840780626
ALT,"Altimmune, Inc.",12.41,N/A,N/A,N/A,441.347238,-5.64,N/A,-0.401081655
ALTM,Altus Midstream Co.,12.93,N/A,N/A,N/A,216.077918,-0.13,N/A,1.548827315
ALTR,"Altair Engineering, Inc.",39.88,N/A,N/A,N/A,2960.399303,-133.14,N/A,1.07660209
ALV,"Autoliv, Inc.",77.83,0.016133229,N/A,N/A,6712.322148,48.06,0.765715697,1.255534455
ALX,"Alexander's, Inc.",266.07,0.067435936,0,0.051547497,1363.237847,28.48,1.926514187,0.673051652
ALXN,"Alexion Pharmaceuticals, Inc.",113.015,N/A,N/A,N/A,24442.17296,29.84,N/A,0.717711983
AM,Antero Midstream Corp.,6,0.201639344,N/A,N/A,2907.2417,-4.03,-0.825669598,0.75151758
AMAG,"AMAG Pharmaceuticals, Inc.",10,N/A,N/A,N/A,348.24396,-1.3,N/A,1.055666123
AMAL,Amalgamated Bank,11.71,0.025125628,N/A,N/A,370.73103,8.16,0.209321797,1.127390519
AMAT,"Applied Materials, Inc.",60.99,0.013992841,0.047619048,0.170804913,56130.37318,17.54,0.247482014,1.498586956
AMBC,"Ambac Financial Group, Inc.",12.87,N/A,N/A,N/A,581.317479,-1.65,N/A,1.313518848
AMC,"AMC Entertainment Holdings, Inc.",7.02,0.065151515,N/A,N/A,721.507934,-0.26,-0.015976756,1.591188998
AMCR,Amcor Plc,11.02,0.041967509,N/A,N/A,17378.7584,28.69,1.210622234,1.019435068
AMCX,"AMC Networks, Inc.",23.2,N/A,N/A,N/A,1160.000577,6.7,N/A,0.845323007
AMD,"Advanced Micro Devices, Inc.",82.06,N/A,N/A,N/A,96906.9124,154.53,N/A,1.199482808
AME,"AMETEK, Inc.",99.47,0.006407048,0.285714286,0.148698355,22937.7407,25.61,0.164748887,1.233836155
AMED,"Amedisys, Inc.",231.52,N/A,N/A,N/A,7736.489943,58.33,N/A,0.831173234
AMEH,"Apollo Medical Holdings, Inc.",19.04,N/A,N/A,N/A,686.16352,31.37,N/A,1.044978852
AMG,"Affiliated Managers Group, Inc.",70.81,0.013714124,N/A,N/A,3292.700763,28.36,0.388543962,1.400195338
AMGN,"Amgen, Inc.",248.57,0.024605704,0.103448276,0.151591838,145199.3995,20.17,0.495254488,0.81094184
AMH,American Homes 4 Rent,28.65,0.006961364,0,0,9028.347195,104.41,0.728862974,0.91926151
AMKR,"Amkor Technology, Inc.",11.5,N/A,N/A,N/A,2867.4756,10.15,N/A,1.547930234
AMN,"AMN Healthcare Services, Inc.",54.99,N/A,N/A,N/A,2570.691596,29.93,N/A,0.668776399
AMNB,"American National Bankshares, Inc. (Virginia)",22.73,0.048300537,0,0.023836256,245.161748,8.39,0.396068652,1.428038068
AMOT,"Allied Motion Technologies, Inc.",40.75,0.002888087,0,0.037137289,404.876081,25.72,0.07535795,1.413254111
AMP,"Ameriprise Financial, Inc.",156.54,0.025265447,0.072164948,0.091922229,18802.85546,8.04,0.20280643,1.877119033
AMPE,"Ampio Pharmaceuticals, Inc.",0.7092,N/A,N/A,N/A,119.872018,-6.68,N/A,0.33484664
AMPH,"Amphastar Pharmaceuticals, Inc.",19.9,N/A,N/A,N/A,952.55913,229.49,N/A,0.819923442
AMR,"Alta Mesa Resources, Inc.",0.08,N/A,N/A,N/A,31.058551,-0.59,N/A,1.592812506
AMRB,American River Bankshares,10.5,0.026666667,N/A,N/A,62.349105,10.55,0.262935487,0.333637946
AMRC,"Ameresco, Inc.",29.97,N/A,N/A,N/A,1452.323481,33.88,N/A,1.122299235
AMRK,"A-Mark Precious Metals, Inc.",24.23,N/A,N/A,N/A,168.53307,14.58,N/A,0.208385317
AMRS,"Amyris, Inc.",3.055,N/A,N/A,N/A,667.42306,-1.31,N/A,1.180209127
AMRX,"Amneal Pharmaceuticals, Inc.",3.65,N/A,N/A,N/A,1117.71688,-2.35,N/A,1.164224302
AMS,American Shared Hospital Services,1.91,N/A,N/A,N/A,11.21127,-45.91,N/A,0.655314484
AMSC,American Superconductor Corp.,11.965,N/A,N/A,N/A,282.17875,-15.07,N/A,1.200330931
AMSF,"AMERISAFE, Inc.",65.58,0.015738499,0.08,0.084471771,1277.399088,14.03,0.222269716,0.918584594
AMSWA,"American Software, Inc.",13.65,0.031837916,0,0.019244876,448.349642,57.32,1.846412086,0.929915411
AMT,American Tower Corp.,249.98,0.016407736,0.195652174,0.190493341,111921.8347,57.61,0.95409292,1.004037465
AMTD,TD Ameritrade Holding Corp.,39.125,0.032140057,N/A,N/A,20701.69726,10.91,0.343191964,1.265218396
AMTX,"Aemetis, Inc.",2.035,N/A,N/A,N/A,40.552005,-1.84,N/A,0.094588862
AMWD,American Woodmark Corp.,81.78,N/A,N/A,N/A,1415.202024,21.47,N/A,1.901345934
AMZN,"Amazon.com, Inc.",3293,N/A,N/A,N/A,1686997.52,124.44,N/A,0.648885112
AN,"AutoNation, Inc.",56.3,N/A,N/A,N/A,4922.420244,16.21,N/A,1.16958039
ANAB,"AnaptysBio, Inc.",15.94,N/A,N/A,N/A,451.601544,-5.34,N/A,1.041684215
ANAT,"American National Group, Inc.",76.7,0.010942087,N/A,N/A,2014.91178,8.12,0.086990654,0.913163424
ANDE,"The Andersons, Inc.",18.115,0.03865406,0.029411765,0.045639553,593.34,-118.16,-4.539516656,0.954996319
ANET,"Arista Networks, Inc.",211.1,N/A,N/A,N/A,16483.87059,21.39,N/A,1.027669565
ANF,Abercrombie & Fitch Co.,13.6,0.047281324,N/A,N/A,791.550171,-5.69,-0.250867584,1.356991996
ANGI,"ANGI Homeservices, Inc.",12.63,N/A,N/A,N/A,6704.645699,293.72,N/A,0.851340083
ANGO,"AngioDynamics, Inc.",9.16,N/A,N/A,N/A,350.29195,-2.1,N/A,1.014052873
ANH,Anworth Mortgage Asset Corp.,1.74,0.165714286,N/A,N/A,173.479075,-1.18,-0.196304068,1.474496076
ANIK,"Anika Therapeutics, Inc.",37.28,N/A,N/A,N/A,534.056166,46.47,N/A,0.994858341
ANIP,"ANI Pharmaceuticals, Inc.",29.175,N/A,N/A,N/A,368.589866,-17.25,N/A,1.293827639
ANIX,"Anixa Biosciences, Inc.",1.8,N/A,N/A,N/A,43.043979,-3.9,N/A,0.892874947
ANSS,"ANSYS, Inc.",321.14,N/A,N/A,N/A,28494.02489,68.71,N/A,1.12423019
ANTM,"Anthem, Inc.",276.22,0.012635379,0.1875,0.087348395,69667.162,11.81,0.149673711,1.233709563
AOBC,American Outdoor Brands Corp.,11.82,N/A,N/A,N/A,650.907306,43.92,N/A,0.082699823
AON,Aon Plc,202.74,0.0043169,N/A,N/A,47221.8525,26.85,0.116534682,0.83128679
AOS,A. O. Smith Corp.,48.61,0.019274144,0.090909091,0,6602.23875,26.51,0.512652705,0.729026251
AOSL,Alpha & Omega Semiconductor Ltd.,13.31,N/A,N/A,N/A,328.744425,-50.34,N/A,1.168883277
AP,Ampco-Pittsburgh Corp.,3.59,N/A,N/A,N/A,46.466904,16.1,N/A,0.4709792
APA,Apache Corp.,14.595,0.038220987,-0.9,-0.369042656,5431.63501,-0.69,-0.025921632,1.942978148
APAM,"Artisan Partners Asset Management, Inc.",37.07,0.066457352,0.030769231,0.022314947,3003.13864,13.58,0.930539273,1.320307395
APD,"Air Products & Chemicals, Inc.",298.43,0.01682482,0.155172414,0.105920621,65645.27892,34.4,0.576289159,1.074347405
APDN,"Applied DNA Sciences, Inc.",7.28,N/A,N/A,N/A,38.725133,-1.96,N/A,-0.124190906
APEI,"American Public Education, Inc.",29.72,N/A,N/A,N/A,435.0318,33.55,N/A,0.652446165
APEN,"Apollo Endosurgery, Inc.",1.35,N/A,N/A,N/A,27.767284,-0.87,N/A,1.122309246
APEX,"APEX Global Brands, Inc.",5.99,N/A,N/A,N/A,3.011558,-0.3,N/A,1.056338887
APH,Amphenol Corp.,108.45,0.009219139,N/A,N/A,32364.95319,29.31,0.270248358,1.066584068
APLE,"Apple Hospitality REIT, Inc.",11.1,0.055970149,0,0,2392.96128,-259.95,-14.05152225,1.475324933
APLS,"Apellis Pharmaceuticals, Inc.",30.54,N/A,N/A,N/A,2268.12,-4.54,N/A,0.943931384
APOG,"Apogee Enterprises, Inc.",21.01,0.035024155,0.071428571,0.112555583,545.58369,11.22,0.388074082,1.776644304
APPF,"AppFolio, Inc.",151.96,N/A,N/A,N/A,5273.524831,169.25,N/A,1.452340311
APPN,Appian Corp.,58.36,N/A,N/A,N/A,4203.979089,-84.04,N/A,1.225924224
APPS,"Digital Turbine, Inc.",23.545,N/A,N/A,N/A,2112.518844,79.74,N/A,1.558914729
APRN,"Blue Apron Holdings, Inc.",6.77,N/A,N/A,N/A,124.013081,-1.33,N/A,-0.888555235
APT,Alpha Pro Tech Ltd.,12.66,N/A,N/A,N/A,178.67957,13.58,N/A,-1.634401033
APTS,"Preferred Apartment Communities, Inc.",6.76,0.143229167,-0.333333333,-0.005618333,338.450871,-0.98,-0.139047399,1.041931215
APTV,Aptiv Plc,86.21,0.005071462,N/A,N/A,23427.369,13.09,0.066822586,1.476064577
APVO,"Aptevo Therapeutics, Inc.",7.86,N/A,N/A,N/A,24.892637,-0.68,N/A,0.673873479
APY,Apergy Corp.,10.34,N/A,N/A,N/A,801.404802,-1.33,N/A,1.900833022
APYX,Apyx Medical Corp.,4.72,N/A,N/A,N/A,167.66036,-9.86,N/A,1.268042852
AQB,"AquaBounty Technologies, Inc.",2.97,N/A,N/A,N/A,125.06308,-5.73,N/A,0.456896838
AQMS,"Aqua Metals, Inc.",1.01,N/A,N/A,N/A,61.479582,-1.89,N/A,1.526632311
AQUA,Evoqua Water Technologies Corp.,19.75,N/A,N/A,N/A,2383.82766,27.24,N/A,1.698494274
AR,Antero Resources Corp.,2.94,N/A,N/A,N/A,784.16308,-0.4,N/A,1.183773098
