symbol,name,exchange,ipoDate,delistingDate,status
ADIL,Adial Pharmaceuticals Inc,NASDAQ,2018-07-27,null,Active
ADILW,Adial Pharmaceuticals Inc Warrants 31072023,NASDAQ,2018-07-27,null,Active
ADM,Archer Daniels Midland Company,NYSE,1983-04-05,null,Active
ADMA,ADMA Biologics Inc,NASDAQ,2013-10-17,null,Active
ADMP,Adamis Pharmaceuticl,NASDAQ,1995-08-14,null,Active
ADMS,Adamas Pharmaceuticals Inc,NASDAQ,2014-04-10,null,Active
ADNT,Ardnet Mines Ltd,NYSE,2016-10-31,null,Active
ADP,Automatic Data Processing,NASDAQ,1983-04-06,null,Active
ADPT,Adaptive Biotechnologies Corp,NASDAQ,2019-06-27,null,Active
ADRO,Aduro BioTech Inc,NASDAQ,2015-04-15,null,Active
ADS,Alliance Data Systems Corp,NYSE,2001-06-15,null,Active
ADSK,Autodesk Inc,NASDAQ,1985-07-01,null,Active
ADSW,Advanced Disposal Services Inc,NYSE,2016-10-06,null,Active
ADT,ADT Inc,NYSE,2018-01-19,null,Active
ADTN,ADTRAN Inc,NASDAQ,1994-08-10,null,Active
ADTX,Aditx Therapeutics Inc,NASDAQ,2020-06-30,null,Active
ADUS,Addus HomeCare Corp,NASDAQ,2009-10-28,null,Active
ADVM,Adverum Biotechnologies Inc,NASDAQ,2016-01-04,null,Active
ADXN,Addex Therapeutics Ltd ADS,NASDAQ,2020-01-29,null,Active
ADXS,Advaxis Inc,NASDAQ,2005-07-28,null,Active
AE,Adams Resources Energy Inc,NYSE,1984-09-07,null,Active
AEB,AEGON NV Perp Cap Secs Floating Rate Netherlands,NYSE,2005-11-23,null,Active
AEE,Ameren Corp,NYSE,1998-01-02,null,Active
AEFC,Aegon Funding Company LLC 5.10 Sub Notes 12152049,NYSE,2019-10-24,null,Active
AEG,AEGON NV,NYSE,1985-07-01,null,Active
AEGN,Aegion Corp Class A,NASDAQ,1989-04-24,null,Active
AEHR,Aehr Test Systems,NASDAQ,1997-08-15,null,Active
AEIS,Advanced Energy Industries Inc,NASDAQ,1995-11-17,null,Active
AEL,American Equity Investment Life Holding Company,NYSE,2003-12-04,null,Active
AEL-P-B,American Equity Investment Life Holding Company Depositary Shares Series B,NYSE,2020-06-10,null,Active
AEM,Agnico Eagle Mines Ltd,NYSE,1984-09-07,null,Active
AEMD,Aethlon Medical Inc,NASDAQ,2001-01-02,null,Active
AEO,American Eagle Outfitters,NYSE,1994-04-14,null,Active
AEP,American Electric Power Company Inc,NYSE,1970-01-02,null,Active
AEP-P-B,American Electric Power Company Inc. Corporate Unit,NYSE,2019-03-15,null,Active
AEP-P-C,American Electric Power Company Inc Corporate Units,NYSE,2020-08-12,null,Active
AER,AerCap Holdings NV,NYSE,2006-11-21,null,Active
AERI,Aerie Pharmaceuticals Inc,NASDAQ,2013-10-25,null,Active
AES,The AES Corp,NYSE,1991-06-26,null,Active
AESE,Black Ridge Acquisition Corp,NASDAQ,2017-10-25,null,Active
AEY,ADDvantage Technologies Group Inc,NASDAQ,1996-05-30,null,Active
AEYE,AudioEye Inc,NASDAQ,2013-04-26,null,Active
AEZS,Aeterna Zentaris Inc,NASDAQ,2000-05-10,null,Active
AFC,Allied Capital Corp,NYSE,2007-04-17,null,Active
AFG,American Financial Group,NYSE,1983-04-06,null,Active
AFGB,American Financial Group Inc 5875 Subordinated Debentures due 2059,NYSE,2019-03-19,null,Active
AFGC,Africa Growth Cp,NYSE,2011-08-04,null,Active
AFGD,American Financial Group Inc. 5.625 Subordinated Debentures due 2060,NYSE,2020-06-03,null,Active
AFGE,American Financial Group Inc,NYSE,2014-09-24,null,Active
AFGH,American Financial Group Inc 6000 Sub Deb 11152055,NYSE,2015-11-18,null,Active
AFI,AFI,NYSE,2016-03-17,null,Active
AFIB,Acutus Medical Inc,NASDAQ,2020-08-06,null,Active
AFIN,American Finance Trust Inc,NASDAQ,2018-07-19,null,Active
AFINP,American Finance Trust Inc Pfd Ser A,NASDAQ,2019-03-22,null,Active
AFL,AFLAC Inc,NYSE,1984-07-19,null,Active
AFMD,Affimed NV,NASDAQ,2014-09-12,null,Active
AFYA,Afya Ltd Class A,NASDAQ,2019-07-19,null,Active
AG,First Majestic Silver Corp,NYSE,2006-11-28,null,Active
AGBA,AGBA Acquisition Ltd,NASDAQ,2019-07-31,null,Active
AGBAR,AGBA Acquisition Limited Right,NASDAQ,2019-07-18,null,Active
AGBAU,Agba Acquisition Ltd Unit 1 Ordinary share 1 Wrt 1 Rts,NASDAQ,2019-05-14,null,Active
AGBAW,AGBA Acquisition Limited Warrant,NASDAQ,2019-07-30,null,Active
AGCO,AGCO Corp,NYSE,1992-04-20,null,Active
AGE,AgeX Therapeutics Inc,NYSE MKT,2018-11-29,null,Active
AGEN,Agenus Inc,NASDAQ,2000-02-08,null,Active
AGFS,AgroFresh Solutions Inc,NASDAQ,2015-08-03,null,Active
AGI,Alamos Gold Inc Class A,NYSE,2009-02-13,null,Active
AGIO,Agios Pharmaceuticals Inc,NASDAQ,2013-07-24,null,Active
AGLE,Aeglea BioTherapeutics,NASDAQ,2016-04-07,null,Active
AGM,Federal Agricultural Mortgage Corp Class C,NYSE,1995-08-18,null,Active
AGM-A,Federal Agricultural Mortgage Corp,NYSE,1996-05-30,null,Active
AGM-P-A,Federal Agricultural Mortgage Corporation 5875 NonCUmulative Preferred Stock Series A,NYSE,2013-01-23,null,Active
AGM-P-C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,2014-06-19,null,Active
AGM-P-D,Federal Agricultural Mortgage Corporation 5700 NonCumulative Preferred Stock Series D,NYSE,2019-05-09,null,Active
AGM-P-E,,NYSE,2020-05-14,null,Active
AGMH,AGM Group Holdings Inc Class A,NASDAQ,2018-04-18,null,Active
AGNC,American Capital Agency Corp,NASDAQ,2008-05-15,null,Active
AGNCM,AGNC Investment Corp FXDFR PRF PERPETUAL USD 25 Ser D 11000th int,NASDAQ,2019-02-28,null,Active
AGNCN,AGNC Investment Corp Depositary Shares Each Representing a 11000th Interest in a Share of 700 Series C FixedToFloating Rate Cumulative Redeemable Preferre,NASDAQ,2017-08-16,null,Active
AGNCO,,NASDAQ,2019-09-27,null,Active
AGNCP,,NASDAQ,2020-02-05,null,Active
AGO,Assured Guaranty Ltd,NYSE,2004-04-23,null,Active
AGO-P-B,Assured Guaranty Ltd,NYSE,2014-09-22,null,Active
AGO-P-E,Assured Guaranty Ltd,NYSE,2010-04-01,null,Active
AGO-P-F,Assured Guaranty Ltd,NYSE,2014-09-22,null,Active
AGR,AGERE SYSTEMS INC,NYSE,2015-12-17,null,Active
AGRO,Adecoagro SA,NYSE,2011-01-28,null,Active
AGRX,Agile Therapeutics Inc,NASDAQ,2014-05-23,null,Active
AGS,PlayAGS Inc,NYSE,2018-01-26,null,Active
AGTC,Applied Genetic Technologies Corp,NASDAQ,2014-03-27,null,Active
AGX,Argan Inc,NYSE,1995-08-18,null,Active
AGYS,Agilysys Inc,NASDAQ,1990-03-26,null,Active
AHC,A H Belo Corp,NYSE,2008-02-11,null,Active
AHCO,DFB Healthcare Acquisitions Corp,NASDAQ,2018-05-24,null,Active
AHH,Armada Hoffler Properties Inc,NYSE,2013-05-08,null,Active
AHH-P-A,Armada Hoffler Properties Inc,NYSE,2019-06-12,null,Active
AHL-P-C,Aspen Insurance Holdings Limited 595 FixedtoFloating Rate Perpetual NonCumulative Preference Shares,NYSE,2013-05-07,null,Active
AHL-P-D,Aspen Insurance Holdings Limited 5625 Perpetual NonCumulative Preference Shares,NYSE,2016-09-14,null,Active
AHPI,Allied Healthcare Products Inc,NASDAQ,1992-01-14,null,Active
AHT,Ashford Hospitality Trust Inc,NYSE,2003-08-26,null,Active
AHT-P-D,Ashford Hospitality Trust Inc 845 Series D Cumulative Preferred Stock,NYSE,2014-09-22,null,Active
AHT-P-F,Ashford Hospitality Trust Inc 7375 Series F Cumulative Preferred Stock,NYSE,2016-07-20,null,Active
AHT-P-G,Ashford Hospitality Trust Inc 7375 Series G Cumulative Preferred Stock,NYSE,2016-10-17,null,Active
AHT-P-H,Ashford Hospitality Trust Inc 750 Series H Cumulative Preferred Stock,NYSE,2017-08-17,null,Active
AHT-P-I,Ashford Hospitality Trust Inc 750 Series I Cumulative Preferred Stock,NYSE,2017-11-09,null,Active
AI,Arlington Asset Investment Corp,NYSE,1997-12-23,null,Active
AI-P-B,Arlington Asset Investment Corp 700 Series B Cumulative Perpetual Redeemable Preferred Stock,NYSE,2017-05-16,null,Active
AI-P-C,Arlington Asset Investment Corp 8250 Series C FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,2019-03-06,null,Active
AIC,Arlington Asset Investment Corp 6750 Sr Nt 03152025,NYSE,2015-03-20,null,Active
AIG,American International Group Inc,NYSE,1984-09-07,null,Active
AIG-P-A,American International Group Inc Depositary Shares Series A,NYSE,2019-03-08,null,Active
AIG-WS,American International Group Inc Wt Wi,NYSE,1973-01-02,null,Active
AIH,ABLEST INC,NASDAQ,2019-10-25,null,Active
AIHS,Senmiao Technology Ltd,NASDAQ,2018-03-16,null,Active
AIKI,AIkido Pharma Inc,NASDAQ,1984-09-07,null,Active
AIM,AIM ImmunoTech Inc,NYSE MKT,1996-07-12,null,Active
AIMC,Altra Industrial Motion Corp,NASDAQ,2006-12-15,null,Active
AIMT,Aimmune Therapeutics Inc,NASDAQ,2015-08-06,null,Active
AIN,Albany International Corp,NYSE,1987-09-30,null,Active
AINC,Ashford Inc,NYSE,2014-11-13,null,Active
AINV,Apollo Investment Corp,NASDAQ,2004-05-05,null,Active
AIO,AllianzGI Artificial Intelligence & Technology Opportunities Fund Com,NYSE,2019-10-29,null,Active
AIR,AAR Corp,NYSE,1984-07-19,null,Active
AIRG,Airgain Inc,NASDAQ,2016-08-12,null,Active
AIRI,Air Industries Group,NYSE,2000-10-05,null,Active
AIRT,Air T Inc,NASDAQ,1984-04-24,null,Active
AIRTP,Air T Inc Air T Funding Trust Preferred Securities,NASDAQ,2019-06-11,null,Active
