symbol,name,exchange,ipoDate,delistingDate,status
CUBI-P-D,Customers Bancorp Inc FixedtoFloating Rate NonCumulative Perpetual Preferred Stock Series D,NYSE,2016-02-02,null,Active
CUBI-P-E,Customers Bancorp Inc FixedtoFloating Rate NonCumulative Perpetual Preferred Stock Series E,NYSE,2016-05-02,null,Active
CUBI-P-F,Customers Bancorp Inc FixedtoFloating Rate NonCumulative Perpetual Preferred Stock Series F,NYSE,2016-09-12,null,Active
CUE,Cue Biopharma Inc,NASDAQ,2018-01-02,null,Active
CUK,Carnival plc,NYSE,2000-10-23,null,Active
CULP,Culp Inc,NYSE,1990-03-26,null,Active
CURO,CURO Group Holdings Corp,NYSE,2017-12-07,null,Active
CUTR,Cutera Inc,NASDAQ,2004-03-31,null,Active
CUZ,Cousins Properties Inc,NYSE,1990-03-26,null,Active
CVA,Covanta Holding Corp,NYSE,1992-03-17,null,Active
CVAC,CureVac N.V.,NASDAQ,2020-08-14,null,Active
CVBF,CVB Financial Corp,NASDAQ,1992-03-17,null,Active
CVCO,Cavco Industries Inc,NASDAQ,2003-07-01,null,Active
CVCY,Central Valley Community Bancorp,NASDAQ,1999-03-08,null,Active
CVE,Cenovus Energy Inc,NYSE,2009-11-17,null,Active
CVEO,Civeo Corp,NYSE,2014-05-19,null,Active
CVET,Covetrus Inc,NASDAQ,2019-02-05,null,Active
CVGI,Commercial Vehicle Group Inc,NASDAQ,2004-08-09,null,Active
CVGW,Calavo Growers Inc,NASDAQ,2002-07-22,null,Active
CVI,CVR Energy Inc,NYSE,2007-10-23,null,Active
CVIA,Covia Holdings Corp,NYSE,2018-06-01,null,Active
CVLG,Covenant Logistics Group Inc Class A,NASDAQ,1994-10-28,null,Active
CVLT,CommVault Systems Inc,NASDAQ,2006-09-22,null,Active
CVLY,Codorus Valley Bancorp Inc,NASDAQ,1997-04-25,null,Active
CVM,CelSci Corp,NYSE,1991-10-10,null,Active
CVNA,Carvana Company Class A,NYSE,2017-04-28,null,Active
CVR,Chicago Rivet Machine Company,NYSE,1992-02-28,null,Active
CVS,CVS Caremark Corp,NYSE,1984-12-17,null,Active
CVTI,,NASDAQ,2020-06-30,null,Active
CVU,CPI Aerostructures Inc,NYSE,1993-02-19,null,Active
CVV,CVD Equipment Corp,NASDAQ,1999-03-01,null,Active
CVX,Chevron Corp,NYSE,1970-01-02,null,Active
CW,CurtissWright Corp,NYSE,1987-11-05,null,Active
CWBC,Community West Bancshares,NASDAQ,1996-11-19,null,Active
CWBR,CohBar Inc,NASDAQ,2015-01-28,null,Active
CWCO,Consolidated Water Company. Ltd,NASDAQ,1995-06-01,null,Active
CWEN,Clearway Energy Inc Class C,NYSE,2013-07-17,null,Active
CWEN-A,Clearway Energy Inc Class A,NYSE,2015-05-15,null,Active
CWENA,Clearway Energy Inc Class A,NYSE,2015-05-15,null,Active
CWH,CommonWealth REIT,NYSE,2016-10-07,null,Active
CWK,Cushman & Wakefield plc,NYSE,2018-08-02,null,Active
CWST,Casella Waste Systems Inc,NASDAQ,1997-10-29,null,Active
CWT,California Water Service Group,NYSE,1990-03-26,null,Active
CX,Cemex SAB de CV ADR,NYSE,1999-09-15,null,Active
CXDC,China XD Plastics Company Ltd,NASDAQ,2007-09-27,null,Active
CXO,Concho Resources Inc,NYSE,2007-08-03,null,Active
CXP,Columbia Property Trust Inc,NYSE,2013-10-10,null,Active
CXW,Corrections Corp Of America,NYSE,1997-07-15,null,Active
CYAD,Celyad SA,NASDAQ,2015-06-19,null,Active
CYAN,Cyanotech Corp,NASDAQ,1993-06-22,null,Active
CYBE,CyberOptics Corp,NASDAQ,1991-11-19,null,Active
CYBR,CyberArk Software Ltd,NASDAQ,2014-09-24,null,Active
CYCC,Cyclacel Pharmaceuticals Inc,NASDAQ,2004-05-05,null,Active
CYCCP,Cyclacel Pharmaceuticals Inc,NASDAQ,2005-11-30,null,Active
CYCN,Cyclerion Therapeutics Inc,NASDAQ,2019-04-02,null,Active
CYD,China Yuchai International Ltd,NYSE,1994-12-19,null,Active
CYH,Community Health Systems,NYSE,2000-06-09,null,Active
CYRN,CYREN Ltd,NASDAQ,1999-07-13,null,Active
CYRX,Cryoport Inc,NASDAQ,2005-02-03,null,Active
CYRXW,CryoPort Inc Wt Exp 06302020,NASDAQ,2015-07-24,null,Active
CYTK,Cytokinetics Inc,NASDAQ,2004-04-29,null,Active
CZNC,Citizens Northern Corp,NASDAQ,1996-05-30,null,Active
CZR,Caesars Entertainment Inc New Com,NASDAQ,2014-09-22,null,Active
CZR,Caesars Entertainment Corp,NASDAQ,2012-02-08,null,Active
CZWI,Citizens Community Bancorp Inc,NASDAQ,2004-03-30,null,Active
CZZ,Cosan LimitedUSA,NYSE,2007-09-04,null,Active
D,Dominion Resources Inc,NYSE,1984-10-03,null,Active
DAC,Danaos Corp,NYSE,2006-10-16,null,Active
DADA,Dada Nexus Ltd ADS,NASDAQ,2020-06-05,null,Active
DAIO,Data io Corp,NASDAQ,1990-03-26,null,Active
DAKT,Daktronics Inc,NASDAQ,1994-02-10,null,Active
DAL,Delta Air Lines Inc,NYSE,2007-05-03,null,Active
DAN,Dana Holding Corp,NYSE,2008-01-02,null,Active
DAO,Youdao Inc ADS Sponsored Repstg Ord Cl A,NYSE,2019-10-25,null,Active
DAR,Darling International Inc,NYSE,1994-09-09,null,Active
DARE,Dare Bioscience Inc,NASDAQ,2014-04-10,null,Active
DAVA,Endava plc American Depositary Shares each representing one Class A,NYSE,2018-07-27,null,Active
DB,Deutsche Bank AG,NYSE,1996-11-18,null,Active
DBD,Diebold Inc,NYSE,1981-12-31,null,Active
DBI,Designer Brands Inc Class A,NYSE,2005-06-29,null,Active
DBVT,DBV Technologies SA,NASDAQ,2014-10-22,null,Active
DBX,Dropbox Inc,NASDAQ,2018-03-23,null,Active
DCI,Donaldson Company Inc,NYSE,1987-06-18,null,Active
DCO,Ducommun Inc,NYSE,1973-05-03,null,Active
DCOM,Dime Community Bancshares Inc,NASDAQ,1996-06-26,null,Active
DCOMP,,NASDAQ,2020-01-30,null,Active
DCP,DCP Midstream Partners LP Partnership LP,NYSE,2005-12-06,null,Active
DCP-P-B,DCP Midstream LP 7875 Series B FixedtoFloating Rate Cumulative Redeemable Perpetual Preferred Units,NYSE,2018-05-17,null,Active
DCP-P-C,DCP Midstream LP 795 Series C FixedtoFloating Rate Cumulative Redeemable Perpetual Preferred Units,NYSE,2018-10-03,null,Active
DCPH,Deciphera Pharmaceuticals Inc,NASDAQ,2017-09-28,null,Active
DCT,Duck Creek Technologies Inc,NASDAQ,2006-12-13,null,Active
DCTH,Delcath Systems Inc,NASDAQ,2002-05-02,null,Active
DCUE,Dominion Energy Inc 2019 Series A Corporate Units,NYSE,2019-06-12,null,Active
DD,DuPont de Nemours Inc,NYSE,2019-06-03,null,Active
DDD,3D Systems Corp,NYSE,1990-11-05,null,Active
DDOG,Datadog Inc,NASDAQ,2019-09-19,null,Active
DDS,Dillards Inc,NYSE,1989-06-30,null,Active
DDT,Dillards Capital Trust I,NYSE,1998-10-14,null,Active
DE,Deere & Company,NYSE,1972-06-01,null,Active
DEA,Easterly Government Properties Inc,NYSE,2015-02-06,null,Active
DECK,Deckers Outdoor Corp,NYSE,1993-10-15,null,Active
DEH,D8 Holdings Corp - Class A,NYSE,2020-09-04,null,Active
DEH-U,D8 Holdings Corp. Units each consisting of one Class A ordinary share and onehalf of one redeemable warrant,NYSE,2020-07-15,null,Active
DEH-WS,D8 Holdings Corp - Warrants (05/08/2027),NYSE,2020-09-04,null,Active
DEI,Douglas Emmett Inc,NYSE,2006-10-25,null,Active
DELL,Dell Technologies Inc Class C,NYSE,2018-12-21,null,Active
DENN,Dennys Corp,NASDAQ,1998-01-08,null,Active
DEO,Diageo plc,NYSE,1996-05-13,null,Active
DESP,Despegarcom Corp,NYSE,2017-09-20,null,Active
DFEB,FT Cboe Vest U.S. Equity Deep Buffer ETF - February,BATS,2020-02-24,null,Active
DFFN,Diffusion Pharmaceuticals Inc,NASDAQ,2016-01-04,null,Active
DFHTU,Deerfield Healthcare Technology Acquisitions Corp. Unit,NASDAQ,2020-07-17,null,Active
DFIN,Donnelley Financial Solutions Inc,NYSE,2016-10-03,null,Active
DFNS,LGL Systems Acquisition Corp Class A,NYSE,2020-03-23,null,Active
DFNS-U,LGL Systems Acquisition Corp Units,NYSE,2019-11-07,null,Active
DFNS-WS,LGL Systems Acquisition Corp. Redeemable Warrants each whole warrant exercisable for shares of Class A Common Stock at an exercise price of 11.50 per share,NYSE,2020-04-06,null,Active
DFPH,DFP Healthcare Acquisitions Corp,NASDAQ,2020-06-04,null,Active
DFPHU,DFP Healthcare Acquisitions Corp Unit 1 Com Cl A & 14 Wt Exp 03312025,NASDAQ,2020-03-11,null,Active
DFPHW,DFP Healthcare Acquisitions Corp Wt Exp 03312025,NASDAQ,2020-06-04,null,Active
DFS,Discover Financial Services,NYSE,2007-06-14,null,Active
DG,Dollar General Corp,NYSE,2009-11-13,null,Active
DGICA,Donegal Group Inc,NASDAQ,2001-04-24,null,Active
DGICB,Donegal Group Inc,NASDAQ,1990-03-26,null,Active
DGII,Digi International Inc,NASDAQ,1990-03-26,null,Active
DGLD,,NASDAQ,2020-06-30,null,Active
DGLY,Digital Ally Inc,NASDAQ,2007-05-16,null,Active
DGNR-U,Dragoneer Growth Opportunities Corp,NYSE,2020-08-14,null,Active
DGX,Quest Diagnostics Inc,NYSE,1996-12-26,null,Active
DHC,Senior Housing Properties Trust,NASDAQ,2000-02-23,null,Active
DHCNI,Senior Housing Properties Trust 5625 Senior Notes due 2042,NASDAQ,2012-07-23,null,Active
DHCNL,Senior Housing Properties Trust 625 Senior Notes Due 2046,NASDAQ,2016-02-22,null,Active
DHI,DR Horton Inc,NYSE,1992-06-05,null,Active
DHIL,Diamond Hill Investment Group Inc,NASDAQ,1997-05-09,null,Active
DHR,Danaher Corp,NYSE,1987-11-05,null,Active
DHR-P-A,Danaher Corporation 475 Mandatory Convertible Preferred Stock Series A,NYSE,2019-02-27,null,Active
DHR-P-B,,NYSE,2020-05-08,null,Active
DHT,DHT Holdings Inc,NYSE,2005-10-13,null,Active
DHX,DICE HOLDINGS INC,NYSE,2007-07-26,null,Active
DIN,DineEquity Inc,NYSE,1991-07-12,null,Active
DIOD,Diodes Inc,NASDAQ,1992-03-17,null,Active
DIS,The Walt Disney Company,NYSE,1962-01-02,null,Active
DISCA,Discovery Communications Inc,NASDAQ,2005-07-08,null,Active
DISCB,Discovery Communications Inc,NASDAQ,2005-11-10,null,Active
DISCK,Discovery Communications Inc,NASDAQ,2008-09-18,null,Active
DISH,DISH Network Corp,NASDAQ,1995-06-21,null,Active
DISHR,DISH Network Corp Rt,NASDAQ,2019-11-25,null,Active
DIT,AMCON Distributing Company,NYSE,1995-08-04,null,Active
DJCB,UBS AG London Branch ETRACS Bloomberg Commodity Index Total Return ETN Ser B 10312039,NYSE ARCA,2019-10-25,null,Active
DJCO,Daily Journal Corp,NASDAQ,1992-02-25,null,Active
DJUL,FT Cboe Vest U.S. Equity Deep Buffer ETF - July,BATS,2020-07-20,null,Active
DK,Delek US Holdings Inc,NYSE,2006-05-04,null,Active
DKL,Delek Logistics Partners LP,NYSE,2012-11-02,null,Active
DKNG,DraftKings Inc Class A,NASDAQ,2019-07-25,null,Active
DKS,Dicks Sporting Goods Inc,NYSE,2002-10-16,null,Active
DKT,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,NYSE,2008-05-05,null,Active
DL,China Distance Education Holdings Ltd,NYSE,2008-07-30,null,Active
DLA,Delta Apparel Inc,NYSE,2000-07-03,null,Active
DLB,Dolby Laboratories Inc,NYSE,2005-02-17,null,Active
DLHC,DLH Holdings Corp,NASDAQ,1995-08-18,null,Active
DLNG,Dynagas LNG Partners LP,NYSE,2013-11-13,null,Active
DLNG-P-A,Dynagas LNG Partners LP 900 Series A Cumulative Redeemable Preferred Units,NYSE,2015-07-27,null,Active
DLNG-P-B,Dynagas LNG Partners LP Pfd Unit Ser B FixedFltg,NYSE,2018-10-17,null,Active
DLPH,Delphi Technologies PLC,NYSE,2017-12-05,null,Active
DLPN,Dolphin Entertainment Inc,NASDAQ,2017-12-21,null,Active
DLPNW,Dolphin Entertainment Inc Warrants 21122020,NASDAQ,2017-12-21,null,Active
DLR,Digital Realty Trust Inc,NYSE,2004-10-29,null,Active
DLR-P-C,Digital Realty Trust Inc 6625 Series C Cumulative Redeemable Perpetual Preferred Stock,NYSE,2017-09-14,null,Active
DLR-P-G,Digital Realty Trust Inc Preferred Series G,NYSE,2014-09-22,null,Active
DLR-P-I,Digital Realty Trust Inc 6350 Series I Cumulative Redeemable Preferred Stock par value 001 per share,NYSE,2015-08-28,null,Active
DLR-P-J,Digital Realty Trust Inc 5250 Series J Cumulative Redeemable Preferred Stock,NYSE,2017-08-02,null,Active
DLR-P-K,Digital Realty Trust Inc 5850 Series K Cumulative Redeemable Preferred Stock par value 001 per share,NYSE,2019-03-05,null,Active
DLR-P-L,,NYSE,2019-10-01,null,Active
DLTH,Duluth Holdings Inc,NASDAQ,2015-11-20,null,Active
DLTR,Dollar Tree Inc,NASDAQ,1995-03-09,null,Active
DLX,Deluxe Corp,NYSE,1987-07-23,null,Active
DLY,DoubleLine Yield Opportunities Fund of Beneficial Interest,NYSE,2020-02-26,null,Active
DMAC,DiaMedica Therapeutics Inc,NASDAQ,2008-01-04,null,Active
DMLP,Dorchester Minerals LP,NASDAQ,2003-02-03,null,Active
DMRC,Digimarc Corp,NASDAQ,1999-12-02,null,Active
DMS,Digital Media Solutions Inc Class A,NYSE,2020-07-16,null,Active
DMS-WS,Digital Media Solutions Inc. Warrants,NYSE,2020-07-16,null,Active
DMTK,Constellation Alpha Capital Corp,NASDAQ,2017-08-10,null,Active
DMXF,ISHARES ESG ADVANCED MSCI EAFE ETF,NASDAQ,2020-06-18,null,Active
DMYD-U,dMY Technology Group Inc II Units each consisting of one share of Class A common stock and onethird of one redeemable warrant,NYSE,2020-08-14,null,Active
DMYT,,NYSE,2020-04-23,null,Active
DMYT-U,dMY Technology Group Inc. Units each consisting of one share of Class A Common Stock and onehalf of one redeemable Warrant,NYSE,2020-02-21,null,Active
DMYT-WS,dMY Technology Group Inc. Redeemable Warrants each whole warrant exercisable for one share of Class A Common Stock each at an exercise price of 11.50 per share,NYSE,2020-05-08,null,Active
DNB,Dun & Bradstreet Holdings Inc,NYSE,1983-06-10,null,Active
DNK,Phoenix Tree Holdings Ltd,NYSE,2020-01-17,null,Active
DNKN,Dunkin Brands Group Inc,NASDAQ,2011-07-27,null,Active
DNLI,Denali Therapeutics Inc,NASDAQ,2017-12-08,null,Active
DNN,Denison Mines Corp,NYSE,2005-02-09,null,Active
DNOW,NOW Inc,NYSE,2014-05-20,null,Active
DNR,Denbury Resources Inc,NYSE,1995-09-06,null,Active
DO,Diamond Offshore Drilling Inc,NYSE,1995-10-11,null,Active
DOC,Physicians Realty Trust,NYSE,2013-07-19,null,Active
DOCU,DocuSign Inc,NASDAQ,2018-04-27,null,Active
DOGZ,Dogness International Corp,NASDAQ,2017-12-19,null,Active
DOMO,Domo Inc,NASDAQ,2018-06-29,null,Active
DOOO,BRP Inc,NASDAQ,2013-07-16,null,Active
DOOR,Masonite International Corp,NYSE,2009-07-24,null,Active
DORM,Dorman Products Inc,NASDAQ,1991-03-12,null,Active
DOV,Dover Corp,NYSE,1985-07-01,null,Active
DOW,Dow Inc,NYSE,2019-03-20,null,Active
DOX,Amdocs Ltd,NASDAQ,1998-06-19,null,Active
DOYU,DouYu International Holdings Ltd ADR,NASDAQ,2019-07-17,null,Active
DPHC,Diamondpeak Holdings Corp Class A,NASDAQ,2019-04-17,null,Active
DPHCU,Diamondpeak Holdings Corp Unit 1 Ordinary share Cls A 13 Wrt,NASDAQ,2019-02-28,null,Active
DPHCW,Diamondpeak Holdings Corp Warrants 22022024,NASDAQ,2019-04-17,null,Active
DPW,DPW Holdings Inc,NYSE MKT,1997-05-05,null,Active
DPZ,Dominos Pizza Inc,NYSE,2004-07-13,null,Active
DQ,Daqo New Energy Corp,NYSE,2010-10-07,null,Active
DRAD,Digirad Corp,NASDAQ,2004-06-10,null,Active
DRADP,Digirad Corp 10 PRF UNDATED USD 10 Ser A,NASDAQ,2019-09-13,null,Active
DRD,DRDGOLD Ltd,NYSE,1996-09-30,null,Active
DRE,Duke Realty Corp,NYSE,1987-11-05,null,Active
DRH,Diamondrock Hospitality Company.,NYSE,2005-05-26,null,Active
DRH-P-A,Diamondrock Hospitality Company,NYSE,2020-08-21,null,Active
DRI,Darden Restaurants Inc,NYSE,1995-05-09,null,Active
DRIO,DarioHealth Corp,NASDAQ,2014-10-06,null,Active
DRIOW,DRIOW,NASDAQ,2016-03-04,null,Active
DRNA,Dicerna Pharmaceuticals Inc,NASDAQ,2014-01-30,null,Active
DRQ,DrilQuip Inc,NYSE,1997-10-23,null,Active
DRRX,DURECT Corp,NASDAQ,2000-09-28,null,Active
DRTT,DIRTT Environmental Solutions Ltd,NASDAQ,2014-01-28,null,Active
DRUA,Dominion Resources Inc 2016 Series A 525 Enhanced Junior Subordinated Notes due 2076,NYSE,2016-07-25,null,Active
DS,Drive Shack Inc,NYSE,2002-10-10,null,Active
DS-P-B,Drive Shack Inc Preferred Series B,NYSE,2016-12-29,null,Active
DS-P-C,Drive Shack Inc Preferred Series C,NYSE,2016-12-29,null,Active
DS-P-D,Drive Shack Inc Pfd Ser D,NYSE,2016-12-29,null,Active
DSGX,Descartes Systems Group USA,NASDAQ,1999-01-27,null,Active
DSKE,Hennessy Capital Acquisition Corp II,NASDAQ,2015-10-12,null,Active
DSKEW,Hennessy Capital Acquisition Corp II Warrant,NASDAQ,2015-09-14,null,Active
DSLV,,NASDAQ,2020-06-30,null,Active
DSPG,DSP Group Inc,NASDAQ,1994-02-14,null,Active
DSS,Document Security Systems Inc,NYSE,1997-01-03,null,Active
DSSI,Diamond S Shipping Inc,NYSE,2019-03-28,null,Active
DSTR,DUALSTAR TECHNOLOGIES CORP,NASDAQ,2019-12-13,null,Active
DSWL,Deswell Industries Inc,NASDAQ,1995-07-19,null,Active
DSX,Diana Shipping Inc,NYSE,2005-03-23,null,Active
DSX-P-B,Diana Shipping Inc Perpetual Preferred Shares Series B Marshall Islands,NYSE,2014-09-22,null,Active
DT,Dynatrace Inc,NYSE,2019-08-01,null,Active
DTE,DTE Energy Company,NYSE,1970-01-02,null,Active
DTEA,DAVIDsTEA Inc,NASDAQ,2015-06-05,null,Active
DTIL,Precision Biosciences Inc,NASDAQ,2019-03-28,null,Active
DTJ,DTE Energy Company 5375 Jr Sub Deb 2016 Ser B 06012076,NYSE,2016-06-01,null,Active
DTLA-P,Brookfield DTLA Inc 7625 Series A Cumulative Redeemable Preferred Stock,NYSE,2014-09-22,null,Active
DTP,DTE Energy Company. Units,NYSE,2019-10-30,null,Active
DTQ,DTE Energy Company Pfd,NYSE,2012-10-03,null,Active
DTSS,Datasea Inc,NASDAQ,2016-04-06,null,Active
DTW,DTE Energy Company 2017 Series E 525 Junior Subordinated Debentures due 2077,NYSE,2017-11-22,null,Active
DTY,DTE Energy Company 2016 Series F 600 Junior Subordinated Debentures due 2076,NYSE,2016-12-08,null,Active
DUK,Duke Energy Corp,NYSE,1983-04-06,null,Active
DUK-P-A,Duke Energy Corporation Depositary Shares Series A,NYSE,2019-03-26,null,Active
DUKB,Duke Energy Corporation 5625 Junior Subordinated Debentures due 2078,NYSE,2018-09-20,null,Active
DUKH,Duke Energy Corp,NYSE,2013-01-16,null,Active
DUO,Fangdd Network Group Ltd ADR,NASDAQ,2019-11-01,null,Active
DUOT,Duos Technologies Group Inc,NASDAQ,2015-04-10,null,Active
DVA,DaVita Inc,NYSE,1995-10-31,null,Active
DVAX,Dynavax Technologies Corp,NASDAQ,2004-02-19,null,Active
DVD,Dover Motorsports Inc,NYSE,1996-10-04,null,Active
DVN,Devon Energy Corp,NYSE,1992-03-17,null,Active
DWSN,Dawson Geophysical Company,NASDAQ,1990-03-26,null,Active
DX,Dynex Capital Inc,NYSE,1989-06-30,null,Active
DX-P-A,Dynex Capital Inc Preferred Stock Series A,NYSE,2014-09-22,null,Active
DX-P-A-CL,Dynex Capital Inc. Preferred Stock Series A,NYSE,2020-02-14,null,Active
DX-P-B,Dynex Capital Inc Preferred Series B,NYSE,2014-09-22,null,Active
DX-P-C,Dynex Capital Inc 6900 Series C FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,2020-02-14,null,Active
DXB,Deutsche Bk Contingent Cap TR II Tr Pfd Sec,NYSE,2007-05-21,null,Active
DXB-CL,Deutsche Bk Contingent Cap TR II Tr Pfd Sec,NYSE,2020-04-08,null,Active
DXBCL,Deutsche Bk Contingent Cap TR II Tr Pfd Sec,NYSE,2007-06-21,null,Active
DXC,DXC Technology Company,NYSE,2017-02-01,null,Active
DXCM,DexCom Inc,NASDAQ,2005-04-14,null,Active
DXF,Dunxin Financial Holdings Limited American Depositary Shares,NYSE,2018-03-02,null,Active
DXLG,Destination XL Group Inc,NASDAQ,1992-02-25,null,Active
DXPE,DXP Enterprises Inc,NASDAQ,1998-05-07,null,Active
DXR,Daxor Corp,NYSE,1992-03-17,null,Active
DXYN,Dixie Group Inc,NASDAQ,1990-03-26,null,Active
DY,Dycom Industries Inc,NYSE,1990-09-24,null,Active
DYAI,Dyadic International Inc DE,NASDAQ,2004-11-05,null,Active
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust of Beneficial Interest,NYSE,2020-06-26,null,Active
DYNT,Dynatronics Corp,NASDAQ,1994-04-25,null,Active
DZSI,DZS Inc,NASDAQ,2003-11-14,null,Active
E,Exlservice Holdings,NYSE,1995-11-28,null,Active
EA,Electronic Arts Inc,NASDAQ,1990-03-26,null,Active
EAB,Entergy Arkansas Inc,NYSE,2012-12-18,null,Active
EAE,Entergy Arkansas Inc,NYSE,2013-06-06,null,Active
EAF,GrafTech International Ltd,NYSE,2018-04-19,null,Active
EAI,Entergy Arkansas Inc First Mortgage Bonds 4875 Series Due September 1 2066,NYSE,2016-08-17,null,Active
EAOA,ISHARES ESG AWARE AGGRESSIVE ALLOCATION ETF,BATS,2020-06-18,null,Active
EAOK,ISHARES ESG AWARE CONSERVATIVE ALLOCATION ETF,BATS,2020-06-18,null,Active
EAOM,ISHARES ESG AWARE MODERATE ALLOCATION ETF,BATS,2020-06-18,null,Active
EAOR,ISHARES ESG AWARE GROWTH ALLOCATION ETF,BATS,2020-06-18,null,Active
EARN,Ellington Residential Mortgage REIT,NYSE,2013-05-01,null,Active
EARS,Auris Medical Holding AG,NASDAQ,2014-08-06,null,Active
EAST,Eastside Distilling Inc,NASDAQ,2018-01-04,null,Active
EAT,Brinker International Inc,NYSE,1989-07-28,null,Active
EB,Eventbrite Inc Class A,NYSE,2018-09-20,null,Active
EBAY,eBay Inc,NASDAQ,1998-09-24,null,Active
EBAYL,eBay Inc 6000 Nt 02012056,NASDAQ,2016-03-10,null,Active
EBF,Ennis Inc,NYSE,1987-09-24,null,Active
EBIX,Ebix Inc,NASDAQ,1990-03-26,null,Active
EBMT,Eagle Bancorp Montana Inc,NASDAQ,2000-04-06,null,Active
EBON,Ebang International Holdings Inc,NASDAQ,2020-06-26,null,Active
EBR,Centrais Eltricas Brasileiras SA Eletrobras,NYSE,2008-11-19,null,Active
EBR-B,Centrais Eletricas Brasileiras SA Pfd ADS,NYSE,2014-09-22,null,Active
EBS,Emergent Biosolutions Inc,NYSE,2006-11-15,null,Active
EBSB,Meridian Interstate Bancorp Inc,NASDAQ,2008-01-23,null,Active
EBTC,Enterprise Bancorp Inc,NASDAQ,2005-02-14,null,Active
EC,Ecopetrol SA ADR,NYSE,2008-09-18,null,Active
ECCA,Eagle Point Credit Company Inc 775 Pfd Ser A 2022,NYSE,2015-05-15,null,Active
ECCA-CL,,NYSE,2019-12-20,null,Active
ECCACL,Eagle Point Credit Company Inc. Series A Term Preferred Stock due 2022,NYSE,2015-05-15,null,Active
ECCB,Eagle Point Credit Company Inc 775 Series B Term Preferred Stock due 2026,NYSE,2016-10-11,null,Active
ECCX,Eagle Point Credit Company Inc 66875 Notes due 2028,NYSE,2018-04-30,null,Active
ECCY,Eagle Point Credit Company Inc 675 Notes due 2027,NYSE,2017-08-09,null,Active
ECHO,Echo Global Logistics Inc,NASDAQ,2009-10-02,null,Active
ECL,Ecolab Inc,NYSE,1988-01-05,null,Active
ECL-WD,Ecolab Inc. When Distributed,NYSE,2020-06-03,null,Active
ECOL,US Ecology Inc,NASDAQ,1990-03-26,null,Active
ECOLW,US Ecology Inc. Warrants 17102023,NASDAQ,2019-11-01,null,Active
ECOM,ChannelAdvisor Corp,NYSE,2013-05-23,null,Active
ECOR,ElectroCore Inc,NASDAQ,2018-06-22,null,Active
ECPG,Encore Capital Group Inc,NASDAQ,1999-07-09,null,Active
ECT,Eca Marcellus Trust I,NYSE,2010-07-01,null,Active
ED,Consolidated Edison Inc,NYSE,1970-01-02,null,Active
EDAP,EDAP TMS SA ADR,NASDAQ,1997-08-01,null,Active
EDIT,Editas Medicine Inc,NASDAQ,2016-02-03,null,Active
EDN,EDENOR SA ADR,NYSE,2007-04-26,null,Active
EDNT,Edison Nation Inc,NASDAQ,2018-05-03,null,Active
EDOC,Global X Telemedicine & Digital Health ETF,NASDAQ,2020-07-30,null,Active
EDRY,EuroDry Ltd,NASDAQ,2018-05-31,null,Active
EDSA,Stellar Biotechnologies Inc,NASDAQ,2015-11-05,null,Active
EDTK,Skillful Craftsman Education Technology Ltd,NASDAQ,2020-07-23,null,Active
EDU,New Oriental Education Technology Group Inc,NYSE,2006-09-07,null,Active
EDUC,Educational Development Corp,NASDAQ,1993-03-04,null,Active
EDUT,Global X Education ETF,NASDAQ,2020-07-14,null,Active
EE,El Paso Electric Company,NYSE,1989-07-07,null,Active
EEFT,Euronet Worldwide Inc,NASDAQ,1997-03-07,null,Active
EEX,Emerald Expositions Events Inc,NYSE,2017-04-28,null,Active
EFC,Ellington Financial LLC,NYSE,2010-10-08,null,Active
EFIV,SPDR S&P 500 ESG ETF,NYSE ARCA,2020-07-28,null,Active
EFOI,Energy Focus Inc,NASDAQ,2014-07-21,null,Active
EFSC,Enterprise Financial Services Corp,NASDAQ,2003-07-15,null,Active
EFX,Equifax Inc,NYSE,1986-03-27,null,Active
EGAN,eGain Corp,NASDAQ,1999-09-23,null,Active
EGBN,Eagle Bancorp Inc MD,NASDAQ,1999-07-14,null,Active
EGHT,8x8 Inc,NYSE,1997-07-02,null,Active
EGLE,Eagle Bulk Shipping Inc,NASDAQ,2005-06-23,null,Active
EGO,Eldorado Gold Corp USA,NYSE,2003-01-23,null,Active
EGOV,NIC Inc,NASDAQ,1999-07-15,null,Active
EGP,Eastgroup Properties Inc,NYSE,1992-03-17,null,Active
EGRX,Eagle Pharmaceuticals Inc,NASDAQ,2014-02-12,null,Active
EGY,VAALCO Energy Inc,NYSE,1993-01-29,null,Active
EH,EHang Holdings Ltd ADS Repstg Ord Cl A,NASDAQ,2019-12-12,null,Active
EHC,Encompass Health Corp,NYSE,2017-12-29,null,Active
EHTH,eHealth Inc,NASDAQ,2006-10-20,null,Active
EIC,Eagle Point Income Company Inc,NYSE,2019-07-24,null,Active
EIDX,Eidos Therapeutics Inc,NASDAQ,2018-06-20,null,Active
EIG,Employers Holdings Inc,NYSE,2007-01-31,null,Active
EIGI,Endurance International Group Hldgs Inc,NASDAQ,2013-10-25,null,Active
EIGR,Empire Insurance Company,NASDAQ,2014-01-30,null,Active
EIX,Edison International,NYSE,1980-01-02,null,Active
EJAN,Innovator MSCI Emerging Markets Power Buffer ETF - January,NYSE ARCA,2020-01-02,null,Active
